order_id,customer_id,payment,order_date,delivery_date,customer_name,gender,age,home_address,zip_code,city,state,country,sales_id,product_id,price_per_unit,quantity_x,total_price,product_type,product_name,size,colour,price,quantity_y,description
1,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,0.0,218.0,106.0,2.0,212.0,Shirt,Chambray,L,orange,105.0,44.0,"A orange coloured, L sized, Chambray Shirt"
1,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,1.0,481.0,118.0,1.0,118.0,Jacket,Puffer,S,indigo,110.0,62.0,"A indigo coloured, S sized, Puffer Jacket"
1,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,2.0,2.0,96.0,3.0,288.0,Shirt,Oxford Cloth,M,red,114.0,54.0,"A red coloured, M sized, Oxford Cloth Shirt"
1,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,3.0,1002.0,106.0,2.0,212.0,Trousers,Wool,M,blue,111.0,52.0,"A blue coloured, M sized, Wool Trousers"
1,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,4.0,691.0,113.0,3.0,339.0,Jacket,Parka,S,indigo,119.0,53.0,"A indigo coloured, S sized, Parka Jacket"
1,64,30811,2021-08-30,2021-09-24,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,5.0,981.0,106.0,3.0,318.0,Trousers,Wool,S,red,111.0,65.0,"A red coloured, S sized, Wool Trousers"
2,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,6.0,915.0,96.0,1.0,96.0,Trousers,Drawstring,XS,orange,104.0,41.0,"A orange coloured, XS sized, Drawstring Trousers"
2,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,7.0,686.0,113.0,1.0,113.0,Jacket,Parka,S,blue,119.0,72.0,"A blue coloured, S sized, Parka Jacket"
2,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,8.0,1091.0,115.0,3.0,345.0,Trousers,Cropped,S,orange,99.0,78.0,"A orange coloured, S sized, Cropped Trousers"
2,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,9.0,1196.0,105.0,1.0,105.0,Trousers,Pleated,S,orange,90.0,72.0,"A orange coloured, S sized, Pleated Trousers"
2,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,10.0,157.0,91.0,3.0,273.0,Shirt,Linen,M,green,116.0,42.0,"A green coloured, M sized, Linen Shirt"
2,473,50490,2021-02-03,2021-02-13,Lori Briars,Male,61,531 Schmitt BoulevardApt. 010,1744,Annaton,South Australia,Australia,11.0,1174.0,99.0,2.0,198.0,Trousers,High-Waisted,XL,green,98.0,78.0,"A green coloured, XL sized, High-Waisted Trousers"
3,774,46763,2021-10-08,2021-11-03,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,12.0,54.0,104.0,1.0,104.0,Shirt,Dress,XL,green,119.0,52.0,"A green coloured, XL sized, Dress Shirt"
3,774,46763,2021-10-08,2021-11-03,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,13.0,6.0,96.0,2.0,192.0,Shirt,Oxford Cloth,S,orange,114.0,72.0,"A orange coloured, S sized, Oxford Cloth Shirt"
3,774,46763,2021-10-08,2021-11-03,Ellynn Korba,Genderqueer,34,2096 Wilson MewsApt. 714,8590,West Jonathanshire,Tasmania,Australia,14.0,1010.0,106.0,2.0,212.0,Trousers,Wool,XS,violet,111.0,80.0,"A violet coloured, XS sized, Wool Trousers"
4,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,15.0,1033.0,90.0,1.0,90.0,Trousers,Relaxed Leg,L,green,95.0,62.0,"A green coloured, L sized, Relaxed Leg Trousers"
4,433,39782,2021-05-06,2021-05-19,Candis Roswarne,Non-binary,46,5777 Mayer PassApt. 881,9728,West Michaelport,Tasmania,Australia,16.0,1184.0,99.0,3.0,297.0,Trousers,High-Waisted,XL,indigo,98.0,57.0,"A indigo coloured, XL sized, High-Waisted Trousers"
